ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,265589,110961,376550
2,Andhra Pradesh,22780838,9478147,32258985
3,Arunachal Pradesh,735800,272483,1008283
4,Assam,15757069,3502138,19259207
5,Bihar,35540837,7387538,42928375
6,Chandigarh,838763,341258,1180021
7,Chhattisgarh,11243572,3595463,14839035
8,Dadra and Nagar Haveli and Daman and Diu,624788,624788,624788
9,Delhi,10361911,4223666,14585577
10,Goa,1181518,471957,1653475
11,Gujarat,37390654,13482531,50873185
12,Haryana,13055959,4551683,17607642
13,Himachal Pradesh,5562998,1862001,7424999
14,Jammu and Kashmir,6630328,2143338,8773666
15,Jharkhand,11454993,2978895,14433888
16,Karnataka,34904099,11951707,46855806
17,Kerala,22183005,8481412,30664417
18,Ladakh,196554,115998,312552
19,Lakshadweep,53191,28640,81831
20,Madhya Pradesh,40761568,9398499,50160067
21,Maharashtra,47595826,17986150,65581976
22,Manipur,1204611,377919,1582530
23,Meghalaya,1040723,337210,1377933
24,Mizoram,675907,274873,950780
25,Nagaland,664236,238413,902649
26,Odisha,18558501,6089870,24648371
27,Puducherry,653763,205964,859727
28,Punjab,11698998,3711958,15410956
29,Rajasthan,36186863,12016323,48203186
30,Sikkim,509903,212380,722283
31,Tamil Nadu,29020727,7344888,36365615
32,Telangana,13972953,5102696,19075649
33,Tripura,2468108,916379,3384487
34,Uttarakhand,6875064,2254177,9129241
35,Uttar Pradesh,69822355,13670519,83492874
36,West Bengal,32522234,12856143,45378377
37,Miscellaneous,1902200,1555985,3458185
