ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,209744,91633,301377
2,Andhra Pradesh,16301408,5586517,21887925
3,Arunachal Pradesh,672715,174809,847524
4,Assam,8878074,1949091,10827165
5,Bihar,20782782,3919266,24702048
6,Chandigarh,646847,197592,844439
7,Chhattisgarh,9652189,2357947,12010136
8,Dadra and Nagar Haveli and Daman and Diu,557768,74936,632704
9,Delhi,7435141,2671573,10106714
10,Goa,1061081,274247,1335328
11,Gujarat,25456493,8284150,33740643
12,Haryana,9408116,2537782,11945898
13,Himachal Pradesh,3968676,1273577,5242253
14,Jammu and Kashmir,4981321,1324274,6305595
15,Jharkhand,7884163,1834865,9719028
16,Karnataka,24088034,6577674,30665708
17,Kerala,14285530,6085174,20370704
18,Ladakh,187397,67650,255047
19,Lakshadweep,50405,16001,66406
20,Madhya Pradesh,27053585,5175306,32228891
21,Maharashtra,33440863,11231791,44672654
22,Manipur,1114766,206019,1320785
23,Meghalaya,891007,198444,1089451
24,Mizoram,643958,197013,840971
25,Nagaland,617903,149873,767776
26,Odisha,12718069,3919719,16637788
27,Puducherry,574641,145668,720309
28,Punjab,7807511,2018435,9825946
29,Rajasthan,25284389,7530701,32815090
30,Sikkim,491204,148121,639325
31,Tamil Nadu,19066215,4241105,23307320
32,Telangana,11350666,3492640,14843306
33,Tripura,2378516,785848,3164364
34,Uttarakhand,4558159,1444775,6002934
35,Uttar Pradesh,40647594,7795548,48443142
36,West Bengal,21103280,8704093,29807373
37,Miscellaneous,1744376,1545196,3289572
