ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,293998,200144,494142
2,Andhra Pradesh,32956472,20351044,53307516
3,Arunachal Pradesh,771833,534291,1306124
4,Assam,20153339,8031332,28184671
5,Bihar,49760134,18200954,67961088
6,Chandigarh,925824,545699,1471523
7,Chhattisgarh,14830370,7303880,22134250
8,Dadra and Nagar Haveli and Daman and Diu,660750,370235,1030985
9,Delhi,13043154,7413565,20456719
10,Goa,1259996,898710,2158706
11,Gujarat,44720532,25910291,70630823
12,Haryana,17764509,8099662,25864171
13,Himachal Pradesh,5713324,3435631,9148955
14,Jammu and Kashmir,9509489,5104269,14613758
15,Jharkhand,14945612,5534160,20479772
16,Karnataka,42480157,22830221,65310378
17,Kerala,25304489,13646429,38950918
18,Ladakh,208798,152278,361076
19,Lakshadweep,55129,45947,101076
20,Madhya Pradesh,49906225,20760983,70667208
21,Maharashtra,67145633,30943704,98089337
22,Manipur,1248731,715130,1963861
23,Meghalaya,1103237,641616,1744853
24,Mizoram,711587,511978,1223565
25,Nagaland,709360,489841,1199201
26,Odisha,25715221,11535261,37250482
27,Puducherry,733751,403823,1137574
28,Punjab,15939393,6234555,22173948
29,Rajasthan,42535510,20067963,62603473
30,Sikkim,521763,451509,973272
31,Tamil Nadu,41202107,17512557,58714664
32,Telangana,22459778,9745660,32205438
33,Tripura,2508474,1620679,4129153
34,Uttarakhand,7476952,3885408,11362360
35,Uttar Pradesh,98125464,32624339,130749803
36,West Bengal,55982557,21500866,77483423
37,Miscellaneous,2237446,1564623,3802069
