ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,297145,262211,559356
2,Andhra Pradesh,35410396,25321619,60732015
3,Arunachal Pradesh,796485,616580,1413065
4,Assam,21366004,12485184,33851188
5,Bihar,54898826,28798388,83697214
6,Chandigarh,944711,643387,1588098
7,Chhattisgarh,16619465,9766283,26385748
8,Dadra and Nagar Haveli and Daman and Diu,676006,445235,1121241
9,Delhi,14005367,9063064,23068431
10,Goa,1285559,1041385,2326944
11,Gujarat,45945203,36380773,82325976
12,Haryana,18692773,10402589,29095362
13,Himachal Pradesh,5834775,5333605,11168380
14,Jammu and Kashmir,9613234,7220441,16833675
15,Jharkhand,16772741,8177040,24949781
16,Karnataka,45420204,31084207,76504411
17,Kerala,25755378,17886141,43641519
18,Ladakh,212278,172007,384285
19,Lakshadweep,55454,49797,105251
20,Madhya Pradesh,51302155,37944890,89247045
21,Maharashtra,75438826,41813859,117252685
22,Manipur,1288350,896614,2184964
23,Meghalaya,1172343,822547,1994890
24,Mizoram,736518,564274,1300792
25,Nagaland,741819,552791,1294610
26,Odisha,28024724,16280208,44304932
27,Puducherry,776699,485849,1262548
28,Punjab,16622037,7807600,24429637
29,Rajasthan,43773566,25951671,69725237
30,Sikkim,523437,471835,995272
31,Tamil Nadu,45836851,25579592,71416443
32,Telangana,25301533,13225060,38526593
33,Tripura,2556916,2043741,4600657
34,Uttarakhand,7609413,5257171,12866584
35,Uttar Pradesh,113863034,52339446,166202480
36,West Bengal,63602365,30577931,94180296
37,Miscellaneous,2237713,1569657,3807370
