ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,157304,21198,178502
2,Andhra Pradesh,12805548,3180380,15985928
3,Arunachal Pradesh,518578,85707,604285
4,Assam,5958059,1249746,7207805
5,Bihar,13865820,2252463,16118283
6,Chandigarh,444544,89353,533897
7,Chhattisgarh,8034603,1618315,9652918
8,Dadra and Nagar Haveli and Daman and Diu,397945,42423,440368
9,Delhi,6214716,1836645,8051361
10,Goa,827800,119193,946993
11,Gujarat,20266503,5707513,25974016
12,Haryana,7585087,1467974,9053061
13,Himachal Pradesh,3362066,546919,3908985
14,Jammu and Kashmir,3877660,693765,4571425
15,Jharkhand,5821461,1072062,6893523
16,Karnataka,19125071,3787022,22912093
17,Kerala,10915717,3326979,14242696
18,Ladakh,171445,57372,228817
19,Lakshadweep,46901,8027,54928
20,Madhya Pradesh,18762997,2545187,21308184
21,Maharashtra,26252955,6468296,32721251
22,Manipur,597706,74460,672166
23,Meghalaya,631349,80944,712293
24,Mizoram,524954,55599,580553
25,Nagaland,447305,61992,509297
26,Odisha,9899724,2155500,12055224
27,Puducherry,445115,68346,513461
28,Punjab,6128641,1007215,7135856
29,Rajasthan,20795337,4006987,24802324
30,Sikkim,407286,76184,483470
31,Tamil Nadu,13262371,2599021,15861392
32,Telangana,9636298,1604298,11240596
33,Tripura,1969633,599487,2569120
34,Uttarakhand,3609949,836737,4446686
35,Uttar Pradesh,27048814,4586490,31635304
36,West Bengal,16900326,5109791,22010117
37,Miscellaneous,1736503,1522551,3259054
