ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,54819,6079,60898
2,Andhra Pradesh,4004003,593574,4597577
3,Arunachal Pradesh,127072,34211,161283
4,Assam,1277867,277594,1555461
5,Bihar,4717948,638186,5356134
6,Chandigarh,111665,22898,134563
7,Chhattisgarh,4224216,456370,4680586
8,Dadra and Nagar Haveli and Daman and Diu,69063,10376,79439
9,Delhi,2032057,422908,2454965
10,Goa,173929,39213,213142
11,Gujarat,8730225,1298617,10028842
12,Haryana,2597444,277821,2875265
13,Himachal Pradesh,1070591,121952,1192543
14,Jammu and Kashmir,1285932,214761,1500693
15,Jharkhand,2318659,322587,2641246
16,Karnataka,6061565,643466,6705031
17,Kerala,4899857,597159,5497016
18,Ladakh,66918,9554,76472
19,Lakshadweep,13243,2901,16144
20,Madhya Pradesh,6350073,708665,7058738
21,Maharashtra,10357897,1154831,11512728
22,Manipur,97793,47697,145490
23,Meghalaya,120725,42546,163271
24,Mizoram,105266,30317,135583
25,Nagaland,102972,30077,133049
26,Odisha,4121043,564788,4685831
27,Puducherry,136469,11920,148389
28,Punjab,1982703,183348,2166051
29,Rajasthan,9095197,1265134,10360331
30,Sikkim,130118,18437,148555
31,Tamil Nadu,3808634,515120,4323754
32,Telangana,2283977,338539,2622516
33,Tripura,747072,98224,845296
34,Uttarakhand,1254098,212872,1466970
35,Uttar Pradesh,8791482,1482514,10273996
36,West Bengal,7415397,1053441,8468838
37,Miscellaneous,1611266,1125557,2736823
