ID,state,total_cases,discharged,deaths
1,Andhra Pradesh,348,6,4
2,Andaman and Nicobar Islands,11,0,0
3,Arunachal Pradesh,1,0,0
4,Assam,28,0,0
5,Bihar,38,0,1
6,Chandigarh,18,7,0
7,Chhattisgarh,10,9,0
8,Delhi,669,21,9
9,Goa,7,0,0
10,Gujarat,179,25,16
11,Haryana,147,28,3
12,Himachal Pradesh,18,2,1
13,Jammu and Kashmir,158,4,4
14,Jharkhand,4,0,0
15,Karnataka,181,28,5
16,Kerala,345,83,2
17,Ladakh,14,10,0
18,Madhya Pradesh,229,0,13
19,Maharashtra,1135,117,72
20,Manipur,1,1,0
21,Mizoram,1,0,0
22,Odisha,42,2,1
23,Puducherry,5,1,0
24,Punjab,101,4,8
25,Rajasthan,381,21,3
26,Tamil Nadu,738,21,8
27,Telengana,427,35,7
28,Tripura,1,0,0
29,Uttarakhand,33,5,0
30,Uttar Pradesh,361,27,4
31,West Bengal,103,16,5
