ID,state,total_cases,discharged,deaths
1,Andhra Pradesh,161,1,1
2,Andaman and Nicobar Islands,10,0,0
3,Arunachal Pradesh,1,0,0
4,Assam,24,0,0
5,Bihar,30,0,1
6,Chandigarh,18,0,0
7,Chhattisgarh,9,3,0
8,Delhi,445,15,6
9,Goa,7,0,0
10,Gujarat,105,14,10
11,Haryana,49,24,0
12,Himachal Pradesh,6,1,1
13,Jammu and Kashmir,92,4,2
14,Jharkhand,2,0,0
15,Karnataka,144,12,4
16,Kerala,306,49,2
17,Ladakh,14,10,0
18,Madhya Pradesh,104,0,6
19,Maharashtra,490,42,24
20,Manipur,2,0,0
21,Mizoram,1,0,0
22,Odisha,20,0,0
23,Puducherry,5,1,0
24,Punjab,57,1,5
25,Rajasthan,200,21,0
26,Tamil Nadu,485,6,3
27,Telengana,269,32,7
28,Uttarakhand,22,2,0
28,Uttar Pradesh,227,19,2
29,West Bengal,69,10,3
