ID,state,total_cases,discharged,deaths
1,Andhra Pradesh,483,16,9
2,Andaman and Nicobar Islands,11,10,0
3,Arunachal Pradesh,1,0,0
4,Assam,32,0,1
5,Bihar,66,29,1
6,Chandigarh,21,7,0
7,Chhattisgarh,33,13,0
8,Delhi,1561,30,30
9,Goa,7,5,0
10,Gujarat,650,59,28
11,Haryana,199,34,3
12,Himachal Pradesh,33,13,1
13,Jammu and Kashmir,278,30,4
14,Jharkhand,27,0,2
15,Karnataka,260,71,10
16,Kerala,387,211,3
17,Ladakh,17,10,0
18,Madhya Pradesh,730,51,50
19,Maharashtra,2687,259,178
20,Manipur,2,1,0
21,Meghalaya,1,0,0
22,Mizoram,1,0,0
23,Nagaland#,0,0,0
24,Odisha,60,18,1
25,Puducherry,7,1,0
26,Punjab,176,14,12
27,Rajasthan,969,147,3
28,Tamil Nadu,1204,81,12
29,Telengana,624,100,17
30,Tripura,2,0,0
31,Uttarakhand,37,9,0
32,Uttar Pradesh,660,50,5
32,West Bengal,213,37,7
