ID,state,total_cases,discharged,deaths
1,Andhra Pradesh,132,1,1
2,Andaman and Nicobar Islands,10,0,0
3,Arunachal Pradesh,1,0,0
4,Assam,16,0,0
5,Bihar,24,0,1
6,Chandigarh,18,0,0
7,Chhattisgarh,9,2,0
8,Delhi,219,8,4
9,Goa,6,0,0
10,Gujarat,87,8,7
11,Haryana,43,21,0
12,Himachal Pradesh,6,1,1
13,Jammu and Kashmir,70,3,2
14,Jharkhand,2,0,0
15,Karnataka,124,10,3
16,Kerala,286,27,2
17,Ladakh,14,3,0
18,Madhya Pradesh,99,0,6
19,Maharashtra,335,42,16
20,Manipur,2,0,0
21,Mizoram,1,0,0
22,Odisha,5,0,0
23,Puducherry,3,1,0
24,Punjab,46,1,4
25,Rajasthan,133,3,0
26,Tamil Nadu,309,6,1
27,Telengana,107,1,3
28,Uttarakhand,10,2,0
28,Uttar Pradesh,113,14,2
29,West Bengal,53,3,3
