ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2341090,2326354,14733,3
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746230,738191,8037,2
5,Bihar,855569,843234,12315,20
6,Chandigarh,100733,99541,1186,6
7,Chhattisgarh,1188518,1174278,14200,40
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2042571,2015665,26684,222
10,Goa,263611,259590,4014,7
11,Gujarat,1292274,1281107,11093,74
12,Haryana,1079142,1068352,10781,9
13,Himachal Pradesh,323042,318786,4246,10
14,Jammu and Kashmir,482183,477384,4793,6
15,Jharkhand,443861,438524,5337,0
16,Karnataka,4096271,4055815,40399,57
17,Kerala,6917607,6845490,72103,14
18,Ladakh,29634,29399,231,4
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056701,1045907,10786,8
21,Maharashtra,8176692,8027857,148591,244
22,Manipur,140038,137889,2149,0
23,Meghalaya,96993,95365,1628,0
24,Mizoram,239567,238833,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348606,1339382,9215,9
27,Puducherry,177705,175721,1982,2
28,Punjab,793813,773208,20582,23
29,Rajasthan,1327227,1317260,9746,221
30,Sikkim,44948,44447,501,0
31,Tamil Nadu,3611613,3573513,38086,14
32,Telangana,844829,840704,4111,14
33,Tripura,108565,107622,943,0
34,Uttarakhand,452664,444883,7771,10
35,Uttar Pradesh,2145929,2122119,23723,87
36,West Bengal,2127574,2105986,21558,30
