ID,state,total_cases,discharged,deaths
1,Andaman and Nicobar Islands,33,33,0
2,Andhra Pradesh,3251,2125,59
3,Arunachal Pradesh,3,1,0
4,Assam,856,104,4
5,Bihar,3296,1211,15
6,Chandigarh,288,189,4
7,Chhattisgarh,399,83,0
8,Dadar Nagar Haveli,2,0,0
9,Delhi,16281,7495,316
10,Goa,69,38,0
11,Gujarat,15562,8003,960
12,Haryana,1504,881,19
13,Himachal Pradesh,276,70,5
14,Jammu and Kashmir,2036,859,27
15,Jharkhand,469,212,4
16,Karnataka,2533,834,47
17,Kerala,1088,555,7
18,Ladakh,73,43,0
19,Madhya Pradesh,7453,4050,321
20,Maharashtra,59546,18616,1982
21,Manipur,55,5,0
22,Meghalaya,21,12,1
23,Mizoram,1,1,0
24,Nagaland,18,0,0
25,Odisha,1660,887,7
26,Puducherry,51,14,0
27,Punjab,2158,1946,40
28,Rajasthan,8067,4817,180
29,Sikkim,1,0,0
30,Tamil Nadu,19372,10548,145
31,Telengana,2256,1345,67
32,Tripura,242,167,0
33,Uttarakhand,500,79,4
34,Uttar Pradesh,7170,4215,197
35,West Bengal,4536,1668,295
