ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,6820,6441,101,278
2,Andhra Pradesh,1562060,1341355,10022,210683
3,Arunachal Pradesh,23867,20836,95,2936
4,Assam,365620,307548,2667,55405
5,Bihar,685574,636224,4442,44908
6,Chandigarh,58129,52172,692,5265
7,Chhattisgarh,945694,862660,12494,70540
8,Dadra and Nagar Haveli and Daman and Diu,9925,9390,4,531
9,Delhi,1415219,1360898,23013,31308
10,Goa,144839,124255,2341,18243
11,Gujarat,784676,695026,9523,80127
12,Haryana,733628,678220,7415,47993
13,Himachal Pradesh,177725,146230,2707,28788
14,Jammu and Kashmir,267313,214664,3513,49136
15,Jharkhand,329072,301705,4801,22566
16,Karnataka,2398925,1891042,24658,483225
17,Kerala,2322146,2025319,7170,289657
18,Ladakh,17277,15585,176,1516
19,Lakshadweep,6418,4394,22,2002
20,Madhya Pradesh,760963,691427,7483,62053
21,Maharashtra,5553225,5111095,87300,354830
22,Manipur,43322,36258,674,6390
23,Meghalaya,28878,20989,435,7454
24,Mizoram,10220,7736,31,2453
25,Nagaland,19845,14967,271,4607
26,Odisha,679530,577983,2456,99091
27,Puducherry,94612,75947,1325,17340
28,Punjab,533973,459681,13089,61203
29,Rajasthan,909521,779601,7590,122330
30,Sikkim,12808,9393,221,3194
31,Tamil Nadu,1806861,1502537,20046,284278
32,Telangana,551035,504970,3106,42959
33,Tripura,46099,37625,463,8011
34,Uttarakhand,310469,246806,5734,57929
35,Uttar Pradesh,1665176,1551716,18978,94482
36,West Bengal,1248668,1102772,14208,131688
