ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340878,2326017,14733,128
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746173,738136,8035,2
5,Bihar,855292,842962,12315,15
6,Chandigarh,100702,99517,1185,0
7,Chhattisgarh,1187857,1173538,14191,128
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2041246,2014528,26670,48
10,Goa,263531,259463,4014,54
11,Gujarat,1291641,1280487,11081,73
12,Haryana,1079007,1068216,10780,11
13,Himachal Pradesh,322950,318702,4246,2
14,Jammu and Kashmir,482052,477252,4792,8
15,Jharkhand,443853,438515,5337,1
16,Karnataka,4091509,4049890,40379,1240
17,Kerala,6916471,6843141,72081,1249
18,Ladakh,29614,29382,231,1
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056600,1045797,10786,17
21,Maharashtra,8173320,8023837,148569,914
22,Manipur,140036,137887,2149,0
23,Meghalaya,96990,95362,1628,0
24,Mizoram,239562,238828,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348431,1339190,9215,26
27,Puducherry,177631,175643,1982,6
28,Punjab,793694,773119,20571,4
29,Rajasthan,1326552,1316777,9737,38
30,Sikkim,44932,44431,501,0
31,Tamil Nadu,3611292,3573017,38085,190
32,Telangana,844625,840472,4111,42
33,Tripura,108495,107553,942,0
34,Uttarakhand,452590,444821,7768,1
35,Uttar Pradesh,2145559,2121814,23718,27
36,West Bengal,2126664,2104999,21556,109
