ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340676,2325943,14733,0
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746159,738119,8035,5
5,Bihar,855267,842952,12314,1
6,Chandigarh,100694,99508,1185,1
7,Chhattisgarh,1187696,1173505,14190,1
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040985,2014295,26666,24
10,Goa,263358,259338,4014,6
11,Gujarat,1291397,1280312,11079,6
12,Haryana,1078907,1068146,10755,6
13,Himachal Pradesh,322929,318681,4242,6
14,Jammu and Kashmir,482032,477240,4792,0
15,Jharkhand,443830,438496,5334,0
16,Karnataka,4088845,4048468,40358,19
17,Kerala,6907311,6835249,72043,19
18,Ladakh,29602,29371,231,0
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056351,1045565,10786,0
21,Maharashtra,8171632,8022933,148561,138
22,Manipur,140034,137885,2149,0
23,Meghalaya,96987,95357,1628,2
24,Mizoram,239561,238827,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348377,1339156,9215,6
27,Puducherry,177548,175566,1981,1
28,Punjab,792424,773083,19338,3
29,Rajasthan,1326466,1316729,9736,1
30,Sikkim,44927,44426,501,0
31,Tamil Nadu,3610681,3572595,38081,5
32,Telangana,844450,840332,4111,7
33,Tripura,108494,107552,942,0
34,Uttarakhand,452577,444809,7768,0
35,Uttar Pradesh,2145453,2121685,23712,56
36,West Bengal,2126411,2104743,21555,113
