ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10041,9910,129,2
2,Andhra Pradesh,2319898,2305105,14731,62
3,Arunachal Pradesh,64504,64207,296,1
4,Assam,724225,716237,7986,2
5,Bihar,830734,818426,12256,52
6,Chandigarh,92336,91094,1165,77
7,Chhattisgarh,1152410,1138321,14034,55
8,Dadra and Nagar Haveli and Daman and Diu,11441,11437,4,0
9,Delhi,1904664,1876695,26207,1762
10,Goa,245702,241772,3832,98
11,Gujarat,1225004,1213868,10944,192
12,Haryana,1001507,989845,10621,1041
13,Himachal Pradesh,285020,280839,4136,45
14,Jammu and Kashmir,454212,449401,4752,59
15,Jharkhand,435325,429985,5318,22
16,Karnataka,3950978,3909073,40106,1799
17,Kerala,6552284,6478328,69643,4313
18,Ladakh,28261,28029,228,4
19,Lakshadweep,11402,11350,52,0
20,Madhya Pradesh,1042326,1031294,10736,296
21,Maharashtra,7883818,7733786,147857,2175
22,Manipur,137231,135110,2120,1
23,Meghalaya,93822,92227,1593,2
24,Mizoram,228226,227366,698,162
25,Nagaland,35496,34735,760,1
26,Odisha,1288390,1279143,9126,121
27,Puducherry,165845,163856,1962,27
28,Punjab,760241,742376,17752,113
29,Rajasthan,1285353,1275303,9555,495
30,Sikkim,39165,38710,452,3
31,Tamil Nadu,3455040,3416644,38025,371
32,Telangana,792997,788488,4111,398
33,Tripura,100887,99964,923,0
34,Uttarakhand,437834,429666,7693,475
35,Uttar Pradesh,2079010,2054661,23519,830
36,West Bengal,2019191,1997630,21203,358
