ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7659,7520,129,10
2,Andhra Pradesh,2067706,2049555,14391,3760
3,Arunachal Pradesh,55176,54835,280,61
4,Assam,611895,602417,6024,3454
5,Bihar,726125,716419,9661,45
6,Chandigarh,65359,64506,820,33
7,Chhattisgarh,1006132,992290,13584,258
8,Dadra and Nagar Haveli and Daman and Diu,10682,10678,4,0
9,Delhi,1440035,1414616,25091,328
10,Goa,178260,174578,3366,316
11,Gujarat,826700,816387,10090,223
12,Haryana,771294,761137,10050,107
13,Himachal Pradesh,224716,219450,3768,1498
14,Jammu and Kashmir,332760,327311,4440,1009
15,Jharkhand,348848,343572,5138,138
16,Karnataka,2989489,2943170,38102,8217
17,Kerala,5001835,4894435,33048,74352
18,Ladakh,21006,20706,209,91
19,Lakshadweep,10365,10314,51,0
20,Madhya Pradesh,792894,782258,10524,112
21,Maharashtra,6616101,6457149,140362,18590
22,Manipur,124001,121358,1930,713
23,Meghalaya,83794,81946,1457,391
24,Mizoram,124539,118050,445,6044
25,Nagaland,31905,31032,688,185
26,Odisha,1042943,1031425,8350,3168
27,Puducherry,128145,125964,1861,320
28,Punjab,602496,585715,16562,219
29,Rajasthan,954450,945449,8954,47
30,Sikkim,32030,31464,398,168
31,Tamil Nadu,2707368,2660419,36204,10745
32,Telangana,672203,664402,3963,3838
33,Tripura,84564,83609,816,139
34,Uttarakhand,343927,336383,7401,143
35,Uttar Pradesh,1710186,1687192,22903,91
36,West Bengal,1597095,1569757,19201,8137
