ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2341097,2326363,14733,1
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746241,738204,8037,0
5,Bihar,855691,843376,12315,0
6,Chandigarh,100756,99570,1186,0
7,Chhattisgarh,1188587,1174385,14202,0
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2043177,2016473,26696,8
10,Goa,263676,259656,4014,6
11,Gujarat,1292583,1281475,11100,8
12,Haryana,1079176,1068391,10785,0
13,Himachal Pradesh,323110,318864,4246,0
14,Jammu and Kashmir,482190,477397,4793,0
15,Jharkhand,443861,438524,5337,0
16,Karnataka,4097042,4056617,40406,19
17,Kerala,6920130,6847864,72130,136
18,Ladakh,29683,29452,231,0
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056775,1045989,10786,0
21,Maharashtra,8177484,8028846,148602,36
22,Manipur,140040,137891,2149,0
23,Meghalaya,96994,95366,1628,0
24,Mizoram,239567,238833,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348642,1339425,9215,2
27,Puducherry,177776,175794,1982,0
28,Punjab,793941,773339,20593,9
29,Rajasthan,1327820,1318056,9746,18
30,Sikkim,44955,44451,501,3
31,Tamil Nadu,3611960,3573865,38086,9
32,Telangana,844889,840776,4111,2
33,Tripura,108578,107634,943,1
34,Uttarakhand,452746,444967,7778,1
35,Uttar Pradesh,2146136,2122400,23732,4
36,West Bengal,2127758,2106163,21558,37
