ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4924,4798,62,64
2,Andhra Pradesh,881061,870342,7094,3625
3,Arunachal Pradesh,16689,16503,56,130
4,Assam,215939,211546,1037,3356
5,Bihar,249912,243461,1383,5068
6,Chandigarh,19486,18810,315,361
7,Chhattisgarh,275149,258155,3293,13701
8,Dadra and Nagar Haveli and Daman and Diu,3373,3362,2,9
9,Delhi,622851,605685,10453,6713
10,Goa,50667,48992,731,944
11,Gujarat,241845,227128,4282,10435
12,Haryana,260907,253765,2874,4268
13,Himachal Pradesh,54438,49685,919,3834
14,Jammu and Kashmir,120137,114986,1867,3284
15,Jharkhand,114268,111664,1019,1585
16,Karnataka,916256,891095,12062,13099
17,Kerala,740516,672196,2976,65344
18,Ladakh,9406,9072,126,208
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,238352,224692,3563,10097
21,Maharashtra,1919550,1809948,49255,60347
22,Manipur,28029,26404,348,1277
23,Meghalaya,13376,13012,138,226
24,Mizoram,4184,4049,8,127
25,Nagaland,11897,11568,78,251
26,Odisha,328504,324068,1861,2575
27,Puducherry,37995,37005,631,359
28,Punjab,165405,155892,5299,4214
29,Rajasthan,305360,291533,2670,11157
30,Sikkim,5845,5173,125,547
31,Tamil Nadu,814170,793154,12069,8947
32,Telangana,285068,277304,1533,6231
33,Tripura,33244,32711,385,148
34,Uttarakhand,89645,82537,1483,5625
35,Uttar Pradesh,581980,558303,8306,15371
36,West Bengal,547443,524071,9598,13774
