ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4997,4932,62,3
2,Andhra Pradesh,888275,880046,7158,1071
3,Arunachal Pradesh,16829,16765,56,8
4,Assam,217193,214403,1084,1706
5,Bihar,260034,257914,1512,608
6,Chandigarh,21060,20535,338,187
7,Chhattisgarh,307079,298987,3732,4360
8,Dadra and Nagar Haveli and Daman and Diu,3398,3394,2,2
9,Delhi,635793,623714,10873,1206
10,Goa,53773,52243,770,760
11,Gujarat,262948,255914,4393,2641
12,Haryana,268293,264317,3027,949
13,Himachal Pradesh,57764,56320,982,462
14,Jammu and Kashmir,124785,122187,1944,654
15,Jharkhand,118938,117420,1077,441
16,Karnataka,941500,923377,12230,5893
17,Kerala,956421,884542,3832,68047
18,Ladakh,9743,9541,130,72
19,Lakshadweep,141,65,0,76
20,Madhya Pradesh,256017,250005,3819,2193
21,Maharashtra,2038630,1952187,51255,35188
22,Manipur,29110,28625,372,113
23,Meghalaya,13821,13593,147,81
24,Mizoram,4381,4345,9,27
25,Nagaland,12126,11970,88,68
26,Odisha,335466,332733,1908,825
27,Puducherry,39235,38267,654,314
28,Punjab,174256,166477,5635,2144
29,Rajasthan,318021,313669,2771,1581
30,Sikkim,6105,5893,135,77
31,Tamil Nadu,840849,824024,12379,4446
32,Telangana,295431,291846,1608,1977
33,Tripura,33352,32950,391,11
34,Uttarakhand,96431,93824,1662,945
35,Uttar Pradesh,601128,587984,8682,4462
36,West Bengal,570981,555788,10201,4992
