ID,state,total_cases,discharged,deaths
1,Andaman and Nicobar Islands,11,10,0
2,Andhra Pradesh,534,20,14
3,Arunachal Pradesh,1,0,0
4,Assam,35,5,1
5,Bihar,80,37,1
6,Chandigarh,21,9,0
7,Chhattisgarh,33,23,0
8,Delhi,1640,51,38
9,Goa,7,6,0
10,Gujarat,930,73,36
11,Haryana,205,43,3
12,Himachal Pradesh,35,16,1
13,Jammu and Kashmir,314,38,4
14,Jharkhand,28,0,2
15,Karnataka,315,82,13
16,Kerala,395,245,3
17,Ladakh,18,14,0
18,Madhya Pradesh,1120,64,53
19,Maharashtra,3205,300,194
20,Manipur,2,1,0
21,Meghalaya,7,0,1
22,Mizoram,1,0,0
23,Nagaland#,0,0,0
24,Odisha,60,19,1
25,Puducherry,7,1,0
26,Punjab,186,27,13
27,Rajasthan,1131,164,3
28,Tamil Nadu,1267,180,15
29,Telengana,700,186,18
30,Tripura,2,1,0
31,Uttarakhand,37,9,0
32,Uttar Pradesh,805,74,13
32,West Bengal,255,51,10
