ID,state,total_cases,discharged,deaths
1,Andhra Pradesh,266,1,3
2,Andaman and Nicobar Islands,10,0,0
3,Arunachal Pradesh,1,0,0
4,Assam,26,0,0
5,Bihar,32,0,1
6,Chandigarh,18,7,0
7,Chhattisgarh,10,9,0
8,Delhi,576,21,7
9,Goa,7,0,0
10,Gujarat,165,25,13
11,Haryana,90,25,1
12,Himachal Pradesh,13,2,1
13,Jammu and Kashmir,116,4,2
14,Jharkhand,4,0,0
15,Karnataka,175,25,4
16,Kerala,327,58,2
17,Ladakh,14,10,0
18,Madhya Pradesh,229,0,13
19,Maharashtra,868,56,48
20,Manipur,2,0,0
21,Mizoram,1,0,0
22,Odisha,42,2,1
23,Puducherry,5,1,0
24,Punjab,91,4,7
25,Rajasthan,288,21,3
26,Tamil Nadu,621,8,5
27,Telengana,364,35,7
28,Tripura,1,0,0
29,Uttarakhand,31,5,0
30,Uttar Pradesh,305,21,3
31,West Bengal,91,13,3
