ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340676,2325943,14733,0
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746159,738119,8035,5
5,Bihar,855267,842952,12314,1
6,Chandigarh,100693,99508,1185,0
7,Chhattisgarh,1187695,1173505,14190,0
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040946,2014266,26666,14
10,Goa,263352,259338,4014,0
11,Gujarat,1291389,1280305,11079,5
12,Haryana,1078898,1068131,10755,12
13,Himachal Pradesh,322921,318672,4242,7
14,Jammu and Kashmir,482023,477231,4792,0
15,Jharkhand,443829,438493,5334,2
16,Karnataka,4088814,4048430,40358,26
17,Kerala,6907278,6835218,72042,18
18,Ladakh,29602,29371,231,0
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056351,1045565,10786,0
21,Maharashtra,8171416,8022681,148561,174
22,Manipur,140034,137885,2149,0
23,Meghalaya,96986,95356,1628,2
24,Mizoram,239561,238827,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348368,1339145,9215,8
27,Puducherry,177547,175566,1981,0
28,Punjab,792419,773077,19338,4
29,Rajasthan,1326465,1316729,9736,0
30,Sikkim,44927,44426,501,0
31,Tamil Nadu,3610674,3572585,38081,8
32,Telangana,844442,840325,4111,6
33,Tripura,108494,107551,942,1
34,Uttarakhand,452572,444804,7768,0
35,Uttar Pradesh,2145443,2121676,23712,55
36,West Bengal,2126367,2104694,21555,118
