ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10751,10622,129,0
2,Andhra Pradesh,2339098,2324361,14733,4
3,Arunachal Pradesh,66891,66595,296,0
4,Assam,746100,738065,8035,0
5,Bihar,851428,839122,12303,3
6,Chandigarh,99373,98187,1182,4
7,Chhattisgarh,1177805,1163653,14146,6
8,Dadra and Nagar Haveli and Daman and Diu,11591,11587,4,0
9,Delhi,2007692,1981131,26523,38
10,Goa,259191,255146,4013,32
11,Gujarat,1278016,1266736,11047,233
12,Haryana,1056797,1046034,10714,49
13,Himachal Pradesh,312858,308584,4214,60
14,Jammu and Kashmir,479527,474701,4785,41
15,Jharkhand,442579,437246,5331,2
16,Karnataka,4074850,4034027,40313,510
17,Kerala,6831695,6758546,71590,1559
18,Ladakh,29425,29194,231,0
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1054993,1044187,10777,29
21,Maharashtra,8138498,7989497,148424,577
22,Manipur,139924,137775,2149,0
23,Meghalaya,96788,95163,1625,0
24,Mizoram,238969,238240,726,3
25,Nagaland,35988,35206,782,0
26,Odisha,1336723,1327439,9205,79
27,Puducherry,175894,173884,1975,35
28,Punjab,784522,765188,19289,45
29,Rajasthan,1315667,1305970,9656,41
30,Sikkim,44328,43825,500,3
31,Tamil Nadu,3595275,3556980,38050,245
32,Telangana,842045,837702,4111,232
33,Tripura,108034,107094,940,0
34,Uttarakhand,449495,441735,7753,7
35,Uttar Pradesh,2128243,2104564,23648,31
36,West Bengal,2118870,2097302,21533,35
