ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340656,2325900,14733,23
3,Arunachal Pradesh,66999,66672,296,31
4,Assam,746138,738084,8035,19
5,Bihar,854922,842425,12313,184
6,Chandigarh,100658,99438,1185,35
7,Chhattisgarh,1187322,1172755,14185,382
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040468,2013501,26651,316
10,Goa,262881,258666,4014,201
11,Gujarat,1291170,1279955,11077,138
12,Haryana,1078695,1067635,10751,309
13,Himachal Pradesh,322413,317920,4238,255
14,Jammu and Kashmir,481905,477002,4792,111
15,Jharkhand,443804,438429,5334,41
16,Karnataka,4087834,4047160,40353,321
17,Kerala,6903675,6827969,71900,3806
18,Ladakh,29575,29343,231,1
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056325,1045526,10786,13
21,Maharashtra,8168425,8019071,148545,809
22,Manipur,139973,137806,2149,18
23,Meghalaya,96908,95273,1626,9
24,Mizoram,239280,238452,731,97
25,Nagaland,36015,35228,782,5
26,Odisha,1347636,1336274,9215,2147
27,Puducherry,177446,175420,1981,45
28,Punjab,792138,772568,19336,234
29,Rajasthan,1326227,1316079,9730,418
30,Sikkim,44748,44220,500,28
31,Tamil Nadu,3610318,3571852,38076,390
32,Telangana,844050,839800,4111,139
33,Tripura,108185,107199,940,46
34,Uttarakhand,452430,444602,7766,62
35,Uttar Pradesh,2144825,2120590,23696,539
36,West Bengal,2124314,2100902,21547,1865
