ID,state,total_cases,discharged,deaths
1,Andaman and Nicobar Islands,33,33,0
2,Andhra Pradesh,2709,1763,55
3,Arunachal Pradesh,1,1,0
4,Assam,259,54,4
5,Bihar,2177,629,11
6,Chandigarh,218,178,3
7,Chhattisgarh,172,62,0
8,Dadar Nagar Haveli,1,0,0
9,Delhi,12319,5897,208
10,Goa,54,16,0
11,Gujarat,13268,5880,802
12,Haryana,1067,706,16
13,Himachal Pradesh,168,59,3
14,Jammu and Kashmir,1489,720,20
15,Jharkhand,308,136,3
16,Karnataka,1743,597,41
17,Kerala,732,512,4
18,Ladakh,44,43,0
19,Madhya Pradesh,6170,3089,272
20,Maharashtra,44582,12583,1517
21,Manipur,26,2,0
22,Meghalaya,14,12,1
23,Mizoram,1,1,0
24,Odisha,1189,436,7
25,Puducherry,26,10,0
26,Punjab,2029,1847,39
27,Rajasthan,6494,3680,153
28,Tamil Nadu,14753,7128,98
29,Telengana,1761,1043,45
30,Tripura,175,152,0
31,Uttarakhand,153,56,1
32,Uttar Pradesh,5735,3238,152
33,West Bengal,3332,1221,265
