ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4518,4304,61,153
2,Andhra Pradesh,851298,824189,6847,20262
3,Arunachal Pradesh,15758,14319,47,1392
4,Assam,210068,204721,958,4389
5,Bihar,225124,218313,1174,5637
6,Chandigarh,15636,14381,246,1009
7,Chhattisgarh,209288,187522,2545,19221
8,Dadra and Nagar Haveli and Daman and Diu,3281,3259,2,20
9,Delhi,474830,423078,7423,44329
10,Goa,45761,43388,658,1715
11,Gujarat,186116,169936,3791,12389
12,Haryana,195799,174380,2006,19413
13,Himachal Pradesh,29008,21846,423,6739
14,Jammu and Kashmir,101594,94375,1574,5645
15,Jharkhand,105781,101569,921,3291
16,Karnataka,857928,818392,11491,28045
17,Kerala,514060,434730,1822,77508
18,Ladakh,7291,6213,89,989
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,182045,170093,3076,8876
21,Maharashtra,1740461,1609607,45809,85045
22,Manipur,21425,18144,213,3068
23,Meghalaya,10581,9455,98,1028
24,Mizoram,3368,2792,3,573
25,Nagaland,9638,8859,52,727
26,Odisha,307004,295245,1495,10264
27,Puducherry,36252,34571,608,1073
28,Punjab,140605,130406,4428,5771
29,Rajasthan,221471,201770,2044,17657
30,Sikkim,4415,4036,86,293
31,Tamil Nadu,754460,725258,11454,17748
32,Telangana,256713,238908,1401,16404
33,Tripura,31919,30414,362,1143
34,Uttarakhand,67706,62302,1097,4307
35,Uttar Pradesh,507602,477180,7327,23095
36,West Bengal,424675,385617,7557,31501
