ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4046,3796,55,195
2,Andhra Pradesh,767465,719477,6319,41669
3,Arunachal Pradesh,12768,9694,29,3045
4,Assam,198213,168072,834,29307
5,Bihar,200103,188380,967,10756
6,Chandigarh,13403,12119,199,1085
7,Chhattisgarh,150696,121548,1339,27809
8,Dadra and Nagar Haveli and Daman and Diu,3171,3090,2,79
9,Delhi,317548,289747,5898,21903
10,Goa,39438,34731,519,4188
11,Gujarat,154936,136404,3595,14937
12,Haryana,145507,133706,1614,10187
13,Himachal Pradesh,18008,15233,255,2520
14,Jammu and Kashmir,85409,74318,1352,9739
15,Jharkhand,94369,86367,811,7191
16,Karnataka,735371,611167,10198,114006
17,Kerala,310140,215149,1066,93925
18,Ladakh,5304,4261,64,979
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,155276,138158,2686,14432
21,Maharashtra,1554389,1316769,40859,196761
22,Manipur,14094,10915,103,3076
23,Meghalaya,7991,5582,70,2339
24,Mizoram,2220,2108,0,112
25,Nagaland,7416,5916,22,1478
26,Odisha,259541,235763,1062,22716
27,Puducherry,32245,27152,568,4525
28,Punjab,125760,114075,3925,7760
29,Rajasthan,165240,141835,1694,21711
30,Sikkim,3459,3075,59,325
31,Tamil Nadu,670392,617403,10423,42566
32,Telangana,217670,193218,1249,23203
33,Tripura,29031,25394,319,3318
34,Uttarakhand,56070,49129,796,6145
35,Uttar Pradesh,444711,401306,6507,36898
36,West Bengal,305697,268384,5808,31505
