ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340672,2325937,14733,2
3,Arunachal Pradesh,67039,66739,296,4
4,Assam,746138,738084,8035,19
5,Bihar,855242,842913,12314,15
6,Chandigarh,100686,99498,1185,3
7,Chhattisgarh,1187666,1173463,14189,14
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040741,2014052,26663,26
10,Goa,263249,259184,4014,51
11,Gujarat,1291333,1280234,11079,20
12,Haryana,1078860,1068067,10754,39
13,Himachal Pradesh,322789,318516,4239,34
14,Jammu and Kashmir,482002,477195,4792,15
15,Jharkhand,443823,438487,5334,2
16,Karnataka,4088525,4048101,40356,68
17,Kerala,6906739,6833526,71935,1278
18,Ladakh,29586,29353,231,2
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056344,1045553,10786,5
21,Maharashtra,8169531,8020829,148553,149
22,Manipur,139973,137806,2149,18
23,Meghalaya,96951,95320,1628,3
24,Mizoram,239502,238729,733,40
25,Nagaland,36029,35246,782,1
26,Odisha,1348172,1338894,9215,63
27,Puducherry,177532,175537,1981,14
28,Punjab,792386,773024,19338,24
29,Rajasthan,1326441,1316690,9735,16
30,Sikkim,44842,44336,500,6
31,Tamil Nadu,3610542,3572441,38080,21
32,Telangana,844313,840165,4111,37
33,Tripura,108291,107342,941,8
34,Uttarakhand,452529,444752,7768,9
35,Uttar Pradesh,2145370,2121554,23705,111
36,West Bengal,2125269,2103484,21552,233
