ID,state,total_cases,discharged,deaths,active_cases
1,Andhra Pradesh,287,265,0,22
2,Arunachal Pradesh,3,3,0,0
3,Assam,98,75,0,23
4,Bihar,132,121,0,11
5,Chandigarh,8,6,0,2
6,Chhattisgarh,179,130,2,47
7,Delhi,3651,3206,17,428
8,Goa,27,24,0,3
9,Gujarat,3503,3047,2,454
10,Haryana,489,428,0,61
11,Himachal Pradesh,4,4,0,0
12,Jammu and Kashmir,63,40,0,23
13,Jharkhand,59,48,1,10
14,Karnataka,2501,2319,11,171
15,Kerala,7910,7130,40,740
16,Ladakh,5,5,0,0
17,Madhya Pradesh,283,196,5,82
18,Maharashtra,2395,2106,33,256
19,Manipur,171,34,0,137
20,Meghalaya,1,0,0,1
21,Mizoram,2,2,0,0
22,Nagaland,1,0,0,1
23,Odisha,155,130,0,25
24,Puducherry,122,119,0,3
25,Punjab,152,93,3,56
26,Rajasthan,686,505,3,178
27,Sikkim,165,134,0,31
28,Tamil Nadu,1016,911,7,98
29,Telangana,33,27,0,6
30,Tripura,7,5,0,2
31,Uttarakhand,74,64,0,10
32,Uttar Pradesh,915,744,2,169
33,West Bengal,1160,412,1,747
