ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340677,2325944,14733,0
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746164,738129,8035,0
5,Bihar,855267,842953,12314,0
6,Chandigarh,100698,99512,1185,1
7,Chhattisgarh,1187697,1173507,14190,0
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2041109,2014437,26666,6
10,Goa,263373,259354,4014,5
11,Gujarat,1291441,1280352,11079,10
12,Haryana,1078963,1068182,10779,2
13,Himachal Pradesh,322942,318697,4245,0
14,Jammu and Kashmir,482034,477242,4792,0
15,Jharkhand,443831,438497,5334,0
16,Karnataka,4088910,4048539,40359,12
17,Kerala,6907415,6835348,72043,24
18,Ladakh,29603,29372,231,0
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056554,1045768,10786,0
21,Maharashtra,8171916,8023311,148563,42
22,Manipur,140034,137885,2149,0
23,Meghalaya,96989,95361,1628,0
24,Mizoram,239562,238828,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348380,1339164,9215,1
27,Puducherry,177548,175567,1981,0
28,Punjab,793669,773100,20569,0
29,Rajasthan,1326466,1316730,9736,0
30,Sikkim,44931,44430,501,0
31,Tamil Nadu,3610722,3572632,38081,9
32,Telangana,844478,840359,4111,8
33,Tripura,108495,107553,942,0
34,Uttarakhand,452588,444820,7768,0
35,Uttar Pradesh,2145492,2121721,23713,58
36,West Bengal,2126540,2104916,21555,69
