ID,state,total_cases,discharged,deaths,active_cases
1,Andhra Pradesh,135,50,0,85
2,Arunachal Pradesh,3,3,0,0
3,Assam,13,9,0,4
4,Bihar,68,18,0,50
5,Chandigarh,3,1,0,2
6,Chhattisgarh,57,16,0,41
7,Delhi,1863,1128,7,728
8,Goa,20,11,0,9
9,Gujarat,1486,504,2,980
10,Haryana,181,81,0,100
11,Himachal Pradesh,3,0,0,3
12,Jammu and Kashmir,16,7,0,9
13,Jharkhand,13,9,0,4
14,Karnataka,955,523,9,423
15,Kerala,4356,2384,15,1957
16,Madhya Pradesh,69,24,2,43
17,Maharashtra,1439,814,18,607
18,Mizoram,2,2,0,0
19,Odisha,49,15,0,34
20,Puducherry,103,92,0,11
21,Punjab,45,8,2,35
22,Rajasthan,230,101,1,128
23,Sikkim,53,22,0,31
24,Tamil Nadu,649,424,6,219
25,Telangana,14,5,0,9
26,Tripura,1,0,0,1
27,Uttarakhand,34,28,0,6
28,Uttar Pradesh,397,170,2,225
29,West Bengal,1160,412,1,747
