ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10741,10611,129,1
2,Andhra Pradesh,2339030,2324246,14733,51
3,Arunachal Pradesh,66885,66587,296,2
4,Assam,746094,738034,8035,25
5,Bihar,851296,838945,12302,49
6,Chandigarh,99323,98137,1181,5
7,Chhattisgarh,1177677,1163476,14145,56
8,Dadra and Nagar Haveli and Daman and Diu,11591,11585,4,2
9,Delhi,2006785,1980108,26514,163
10,Goa,258923,254847,4013,63
11,Gujarat,1277250,1265853,11040,357
12,Haryana,1056406,1045584,10712,110
13,Himachal Pradesh,312512,308267,4211,34
14,Jammu and Kashmir,479319,474520,4785,14
15,Jharkhand,442555,437202,5331,22
16,Karnataka,4070382,4028221,40302,1859
17,Kerala,6824342,6750537,71431,2374
18,Ladakh,29396,29163,231,2
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1054866,1044047,10776,43
21,Maharashtra,8134440,7985028,148401,1011
22,Manipur,139901,137742,2149,10
23,Meghalaya,96771,95143,1624,4
24,Mizoram,238913,238148,726,39
25,Nagaland,35986,35202,782,2
26,Odisha,1336348,1326999,9204,145
27,Puducherry,175466,173466,1975,25
28,Punjab,784068,764716,19289,63
29,Rajasthan,1314925,1305063,9648,214
30,Sikkim,44305,43801,499,5
31,Tamil Nadu,3593447,3554688,38048,711
32,Telangana,840863,836471,4111,281
33,Tripura,108027,107083,940,4
34,Uttarakhand,449217,441431,7751,35
35,Uttar Pradesh,2127897,2104062,23631,204
36,West Bengal,2118339,2096548,21531,260
