ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340676,2325943,14733,0
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746159,738119,8035,5
5,Bihar,855267,842951,12314,2
6,Chandigarh,100693,99508,1185,0
7,Chhattisgarh,1187695,1173504,14190,1
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040896,2014226,26666,4
10,Goa,263345,259327,4014,4
11,Gujarat,1291380,1280299,11079,2
12,Haryana,1078877,1068116,10755,6
13,Himachal Pradesh,322904,318659,4241,4
14,Jammu and Kashmir,482023,477231,4792,0
15,Jharkhand,443826,438491,5334,1
16,Karnataka,4088763,4048397,40358,8
17,Kerala,6907229,6835174,72042,13
18,Ladakh,29602,29371,231,0
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056351,1045565,10786,0
21,Maharashtra,8170945,8022179,148558,208
22,Manipur,140034,137885,2149,0
23,Meghalaya,96982,95351,1628,3
24,Mizoram,239560,238825,734,1
25,Nagaland,36033,35251,782,0
26,Odisha,1348354,1339133,9215,6
27,Puducherry,177547,175565,1981,1
28,Punjab,792415,773073,19338,4
29,Rajasthan,1326464,1316727,9736,1
30,Sikkim,44924,44420,500,4
31,Tamil Nadu,3610655,3572567,38081,7
32,Telangana,844428,840311,4111,6
33,Tripura,108492,107549,942,1
34,Uttarakhand,452570,444800,7768,2
35,Uttar Pradesh,2145423,2121659,23710,54
36,West Bengal,2126249,2104557,21555,137
