ID,state,total_cases,discharged,deaths,active_cases
1,Andhra Pradesh,323,322,0,1
2,Arunachal Pradesh,3,3,0,0
3,Assam,201,195,0,6
4,Bihar,145,143,0,2
5,Chandigarh,18,18,0,0
6,Chhattisgarh,246,234,5,7
7,Delhi,4080,4047,22,11
8,Goa,29,29,0,0
9,Gujarat,3675,3660,2,13
10,Haryana,663,653,4,6
11,Himachal Pradesh,6,6,0,0
12,Jammu and Kashmir,135,112,1,22
13,Jharkhand,82,81,1,0
14,Karnataka,2968,2953,11,4
15,Kerala,8745,8677,54,14
16,Ladakh,5,5,0,0
17,Madhya Pradesh,350,339,10,1
18,Maharashtra,2731,2654,43,34
19,Manipur,353,342,0,11
20,Meghalaya,1,1,0,0
21,Mizoram,14,13,0,1
22,Nagaland,3,3,0,0
23,Odisha,173,169,0,4
24,Puducherry,126,126,0,0
25,Punjab,260,241,4,15
26,Rajasthan,825,793,3,29
27,Sikkim,283,280,1,2
28,Tamil Nadu,1188,1172,7,9
29,Telangana,33,33,0,0
30,Tripura,31,31,0,0
31,Uttarakhand,115,113,0,2
32,Uttar Pradesh,1116,1102,2,12
33,West Bengal,1167,1125,1,41
