ID,state,total_cases,discharged,deaths,active_cases
1,Andhra Pradesh,322,322,0,0
2,Arunachal Pradesh,3,3,0,0
3,Assam,190,183,0,7
4,Bihar,143,142,0,1
5,Chandigarh,18,17,0,1
6,Chhattisgarh,238,225,5,8
7,Delhi,4060,4022,21,17
8,Goa,29,29,0,0
9,Gujarat,3671,3623,2,46
10,Haryana,646,637,4,5
11,Himachal Pradesh,6,4,0,2
12,Jammu and Kashmir,127,105,1,21
13,Jharkhand,82,81,1,0
14,Karnataka,2958,2927,11,20
15,Kerala,8725,8635,52,38
16,Ladakh,5,5,0,0
17,Madhya Pradesh,349,336,10,3
18,Maharashtra,2694,2621,42,31
19,Manipur,342,326,0,16
20,Meghalaya,1,1,0,0
21,Mizoram,13,12,0,1
22,Nagaland,3,3,0,0
23,Odisha,169,166,0,3
24,Puducherry,125,125,0,0
25,Punjab,249,226,4,19
26,Rajasthan,817,779,3,35
27,Sikkim,279,260,1,18
28,Tamil Nadu,1179,1159,7,13
29,Telangana,33,33,0,0
30,Tripura,31,31,0,0
31,Uttarakhand,112,112,0,0
32,Uttar Pradesh,1094,1075,2,17
33,West Bengal,1167,1125,1,41
