ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2341090,2326356,14733,1
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746230,738193,8037,0
5,Bihar,855604,843251,12315,38
6,Chandigarh,100738,99546,1186,6
7,Chhattisgarh,1188535,1174306,14200,29
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2042686,2015867,26689,130
10,Goa,263616,259591,4014,11
11,Gujarat,1292320,1281156,11096,68
12,Haryana,1079147,1068361,10781,5
13,Himachal Pradesh,323050,318795,4246,9
14,Jammu and Kashmir,482186,477389,4793,4
15,Jharkhand,443861,438524,5337,0
16,Karnataka,4096349,4055893,40399,57
17,Kerala,6917618,6845501,72104,13
18,Ladakh,29637,29402,231,4
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056718,1045914,10786,18
21,Maharashtra,8176811,8027995,148594,222
22,Manipur,140038,137889,2149,0
23,Meghalaya,96993,95365,1628,0
24,Mizoram,239567,238833,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348612,1339389,9215,8
27,Puducherry,177707,175723,1982,2
28,Punjab,793825,773229,20583,13
29,Rajasthan,1327306,1317359,9746,201
30,Sikkim,44949,44447,501,1
31,Tamil Nadu,3611625,3573525,38086,14
32,Telangana,844835,840714,4111,10
33,Tripura,108565,107622,943,0
34,Uttarakhand,452685,444895,7772,18
35,Uttar Pradesh,2145981,2122176,23723,82
36,West Bengal,2127593,2106007,21558,28
