ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340676,2325943,14733,0
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746159,738119,8035,5
5,Bihar,855266,842951,12314,1
6,Chandigarh,100693,99508,1185,0
7,Chhattisgarh,1187695,1173504,14190,1
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040884,2014214,26666,4
10,Goa,263343,259324,4014,5
11,Gujarat,1291378,1280294,11079,5
12,Haryana,1078871,1068114,10755,2
13,Himachal Pradesh,322900,318653,4241,6
14,Jammu and Kashmir,482023,477231,4792,0
15,Jharkhand,443825,438491,5334,0
16,Karnataka,4088755,4048386,40358,11
17,Kerala,6907218,6835152,72042,24
18,Ladakh,29602,29371,231,0
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056351,1045565,10786,0
21,Maharashtra,8170772,8022021,148557,194
22,Manipur,140034,137885,2149,0
23,Meghalaya,96980,95347,1628,5
24,Mizoram,239559,238825,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348349,1339129,9215,5
27,Puducherry,177547,175564,1981,2
28,Punjab,792414,773073,19338,3
29,Rajasthan,1326463,1316727,9736,0
30,Sikkim,44920,44418,500,2
31,Tamil Nadu,3610649,3572563,38081,5
32,Telangana,844423,840304,4111,8
33,Tripura,108491,107547,942,2
34,Uttarakhand,452562,444794,7768,0
35,Uttar Pradesh,2145420,2121656,23710,54
36,West Bengal,2126189,2104486,21555,148
