ID,state,total_cases,discharged,deaths
1,Andaman and Nicobar Islands,33,33,0
2,Andhra Pradesh,1980,925,45
3,Arunachal Pradesh,1,1,0
4,Assam,63,34,2
5,Bihar,696,365,6
6,Chandigarh,169,24,2
7,Chhattisgarh,59,49,0
8,Dadar Nagar Haveli,1,0,0
9,Delhi,6923,2069,73
10,Goa,7,7,0
11,Gujarat,8194,2545,493
12,Haryana,703,300,10
13,Himachal Pradesh,55,39,2
14,Jammu and Kashmir,861,383,9
15,Jharkhand,157,78,3
16,Karnataka,848,424,31
17,Kerala,512,489,4
18,Ladakh,42,21,0
19,Madhya Pradesh,3614,1676,215
20,Maharashtra,22171,4199,832
21,Manipur,2,2,0
22,Meghalaya,13,10,1
23,Mizoram,1,1,0
24,Odisha,377,68,3
25,Puducherry,9,6,0
26,Punjab,1823,166,31
27,Rajasthan,3814,2176,107
28,Tamil Nadu,7204,1959,47
29,Telengana,1196,750,30
30,Tripura,150,2,0
31,Uttarakhand,68,46,1
32,Uttar Pradesh,3467,1653,74
33,West Bengal,1939,417,185
