ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10427,10256,129,42
2,Andhra Pradesh,2331417,2314349,14733,2335
3,Arunachal Pradesh,65749,64948,296,505
4,Assam,738426,724790,8015,5621
5,Bihar,843039,829330,12284,1425
6,Chandigarh,96256,94218,1169,869
7,Chhattisgarh,1165025,1147685,14064,3276
8,Dadra and Nagar Haveli and Daman and Diu,11525,11513,4,8
9,Delhi,1953175,1923023,26308,3844
10,Goa,251915,247251,3851,813
11,Gujarat,1253217,1236031,10968,6218
12,Haryana,1028736,1015145,10640,2951
13,Himachal Pradesh,298450,288900,4159,5391
14,Jammu and Kashmir,463359,454123,4768,4468
15,Jharkhand,439780,433346,5327,1107
16,Karnataka,4003785,3953776,40143,9866
17,Kerala,6717856,6631390,70451,16015
18,Ladakh,28862,28501,228,133
19,Lakshadweep,11415,11360,52,3
20,Madhya Pradesh,1049435,1037089,10754,1592
21,Maharashtra,8043519,7882236,148097,13186
22,Manipur,138984,136240,2129,615
23,Meghalaya,95285,92983,1605,697
24,Mizoram,232602,230879,710,1013
25,Nagaland,35765,34894,769,102
26,Odisha,1311135,1296293,9138,5704
27,Puducherry,170665,167875,1965,825
28,Punjab,773093,747101,17812,8180
29,Rajasthan,1293725,1282387,9578,1760
30,Sikkim,42003,40474,470,1059
31,Tamil Nadu,3541231,3489689,38032,13510
32,Telangana,818290,809009,4111,5170
33,Tripura,106308,103380,929,1999
34,Uttarakhand,442428,432608,7707,2113
35,Uttar Pradesh,2101489,2074958,23565,2966
36,West Bengal,2091767,2052412,21352,18003
