ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,3521,3202,51,268
2,Andhra Pradesh,557587,457008,4846,95733
3,Arunachal Pradesh,5975,4253,10,1712
4,Assam,140471,110885,453,29133
5,Bihar,156703,141499,808,14396
6,Chandigarh,7542,4864,92,2586
7,Chhattisgarh,61763,27978,539,33246
8,Dadra and Nagar Haveli and Daman and Diu,2725,2444,2,279
9,Delhi,214069,181295,4715,28059
10,Goa,24185,18576,286,5323
11,Gujarat,112174,92678,3195,16301
12,Haryana,91115,70713,956,19446
13,Himachal Pradesh,9229,5962,73,3194
14,Jammu and Kashmir,52410,35285,864,16261
15,Jharkhand,60460,45074,542,14844
16,Karnataka,449551,344556,7161,97834
17,Kerala,105139,75844,425,28870
18,Ladakh,3294,2414,39,841
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,85966,64398,1728,19840
21,Maharashtra,1037765,728512,29115,280138
22,Manipur,7731,6102,45,1584
23,Meghalaya,3615,2020,25,1570
24,Mizoram,1414,823,0,591
25,Nagaland,5064,3839,10,1215
26,Odisha,146894,115279,616,30999
27,Puducherry,19445,14228,370,4847
28,Punjab,77057,55385,2288,19384
29,Rajasthan,100705,82902,1221,16582
30,Sikkim,2055,1503,11,541
31,Tamil Nadu,497066,441649,8307,47110
32,Telangana,157096,124528,961,31607
33,Tripura,18910,11132,194,7584
34,Uttarakhand,30336,20153,402,9781
35,Uttar Pradesh,305831,233527,4349,67955
36,West Bengal,199493,172085,3887,23521
