ID,state,total_cases,discharged,deaths
1,Andaman and Nicobar Islands,33,33,0
2,Andhra Pradesh,2090,1056,46
3,Arunachal Pradesh,1,1,0
4,Assam,65,39,2
5,Bihar,831,383,6
6,Chandigarh,187,28,3
7,Chhattisgarh,59,54,0
8,Dadar Nagar Haveli,1,0,0
9,Delhi,7639,2512,86
10,Goa,7,7,0
11,Gujarat,8903,3246,537
12,Haryana,780,342,11
13,Himachal Pradesh,65,39,2
14,Jammu and Kashmir,934,455,10
15,Jharkhand,172,79,3
16,Karnataka,925,433,31
17,Kerala,524,489,4
18,Ladakh,42,21,0
19,Madhya Pradesh,3986,1860,225
20,Maharashtra,24427,5125,921
21,Manipur,2,2,0
22,Meghalaya,13,10,1
23,Mizoram,1,1,0
24,Odisha,437,116,3
25,Puducherry,13,9,1
26,Punjab,1914,171,32
27,Rajasthan,4126,2378,117
28,Tamil Nadu,8718,2134,61
29,Telengana,1326,830,32
30,Tripura,154,2,0
31,Uttarakhand,69,46,1
32,Uttar Pradesh,3664,1873,82
33,West Bengal,2173,612,198
