ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2341097,2326364,14733,0
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746243,738206,8037,0
5,Bihar,855691,843376,12315,0
6,Chandigarh,100756,99570,1186,0
7,Chhattisgarh,1188588,1174385,14202,1
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2043197,2016494,26696,7
10,Goa,263680,259663,4014,3
11,Gujarat,1292588,1281483,11100,5
12,Haryana,1079178,1068392,10786,0
13,Himachal Pradesh,323111,318864,4246,1
14,Jammu and Kashmir,482190,477397,4793,0
15,Jharkhand,443861,438524,5337,0
16,Karnataka,4097086,4056664,40406,16
17,Kerala,6920237,6848053,72132,52
18,Ladakh,29683,29452,231,0
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056777,1045989,10786,2
21,Maharashtra,8177570,8028909,148602,59
22,Manipur,140040,137891,2149,0
23,Meghalaya,96994,95366,1628,0
24,Mizoram,239569,238834,734,1
25,Nagaland,36033,35251,782,0
26,Odisha,1348644,1339428,9215,1
27,Puducherry,177778,175795,1982,1
28,Punjab,793945,773350,20593,2
29,Rajasthan,1327821,1318075,9746,0
30,Sikkim,44958,44455,501,2
31,Tamil Nadu,3611978,3573887,38086,5
32,Telangana,844893,840780,4111,2
33,Tripura,108584,107637,943,4
34,Uttarakhand,452747,444969,7778,0
35,Uttar Pradesh,2146143,2122403,23732,8
36,West Bengal,2127802,2106195,21558,49
