ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4992,4907,62,23
2,Andhra Pradesh,886694,878060,7146,1488
3,Arunachal Pradesh,16817,16724,56,37
4,Assam,216957,213398,1077,2482
5,Bihar,258513,254359,1472,2682
6,Chandigarh,20664,20195,332,137
7,Chhattisgarh,295949,287040,3601,5308
8,Dadra and Nagar Haveli and Daman and Diu,3394,3382,2,10
9,Delhi,633542,620693,10789,2060
10,Goa,52782,51170,758,854
11,Gujarat,258264,248650,4374,5240
12,Haryana,266939,262349,3005,1585
13,Himachal Pradesh,57162,55676,970,516
14,Jammu and Kashmir,123852,120826,1928,1098
15,Jharkhand,118154,116116,1060,978
16,Karnataka,934576,915382,12190,7004
17,Kerala,877282,803094,3564,70624
18,Ladakh,9673,9476,129,68
19,Lakshadweep,50,0,0,50
20,Madhya Pradesh,253114,244855,3780,4479
21,Maharashtra,2003657,1906827,50684,46146
22,Manipur,28953,28387,369,197
23,Meghalaya,13723,13449,146,128
24,Mizoram,4349,4282,9,58
25,Nagaland,12072,11880,88,104
26,Odisha,334020,330757,1903,1360
27,Puducherry,38794,37857,643,294
28,Punjab,171522,163655,5543,2324
29,Rajasthan,316282,309807,2756,3719
30,Sikkim,6063,5792,131,140
31,Tamil Nadu,833585,816205,12307,5073
32,Telangana,293056,287899,1588,3569
33,Tripura,33344,32919,391,34
34,Uttarakhand,95464,92040,1629,1795
35,Uttar Pradesh,598126,581993,8605,7528
36,West Bengal,567304,550737,10097,6470
