ID,state,total_cases,discharged,deaths,active_cases
1,Andhra Pradesh,323,323,0,0
2,Arunachal Pradesh,3,3,0,0
3,Assam,210,209,0,1
4,Bihar,145,145,0,0
5,Chandigarh,18,18,0,0
6,Chhattisgarh,248,242,6,0
7,Delhi,4143,4104,25,14
8,Goa,29,29,0,0
9,Gujarat,3679,3675,2,2
10,Haryana,674,668,5,1
11,Himachal Pradesh,8,8,0,0
12,Jammu and Kashmir,165,147,1,17
13,Jharkhand,82,81,1,0
14,Karnataka,2989,2975,11,3
15,Kerala,8788,8728,58,2
16,Ladakh,5,5,0,0
17,Madhya Pradesh,353,342,11,0
18,Maharashtra,2768,2703,46,19
19,Manipur,365,361,0,4
20,Meghalaya,1,1,0,0
21,Mizoram,39,39,0,0
22,Nagaland,3,3,0,0
23,Odisha,176,174,0,2
24,Puducherry,128,128,0,0
25,Punjab,277,266,6,5
26,Rajasthan,833,829,3,1
27,Sikkim,288,287,1,0
28,Tamil Nadu,1222,1211,7,4
29,Telangana,33,33,0,0
30,Tripura,31,31,0,0
31,Uttarakhand,125,125,0,0
32,Uttar Pradesh,1164,1152,2,10
33,West Bengal,1169,1166,1,2
