ID,state,total_cases,discharged,deaths
1,Andaman and Nicobar Islands,33,16,0
2,Andhra Pradesh,1463,403,33
3,Arunachal Pradesh,1,1,0
4,Assam,43,32,1
5,Bihar,471,98,3
6,Chandigarh,88,17,0
7,Chhattisgarh,43,36,0
8,Delhi,3738,1167,61
9,Goa,7,7,0
10,Gujarat,4721,735,236
11,Haryana,360,227,4
12,Himachal Pradesh,40,30,1
13,Jammu and Kashmir,639,247,8
14,Jharkhand,111,20,3
15,Karnataka,589,251,22
16,Kerala,497,392,4
17,Ladakh,22,17,0
18,Madhya Pradesh,2719,524,145
19,Maharashtra,11506,1879,485
20,Manipur,2,2,0
21,Meghalaya,12,0,1
22,Mizoram,1,0,0
23,Odisha,149,55,1
24,Puducherry,8,5,0
25,Punjab,480,90,19
26,Rajasthan,2666,1116,62
27,Tamil Nadu,2526,1312,28
28,Telengana,1039,441,26
29,Tripura,2,2,0
30,Uttarakhand,58,36,0
31,Uttar Pradesh,2328,654,42
32,West Bengal,795,139,33
