ID,state,total_cases,discharged,deaths
1,Andaman and Nicobar Islands,16,11,0
2,Andhra Pradesh,757,96,22
3,Arunachal Pradesh,1,1,0
4,Assam,35,19,1
5,Bihar,126,42,2
6,Chandigarh,27,14,0
7,Chhattisgarh,36,26,0
8,Delhi,2156,611,47
9,Goa,7,7,0
10,Gujarat,2178,139,90
11,Haryana,254,127,3
12,Himachal Pradesh,39,16,1
13,Jammu and Kashmir,380,81,5
14,Jharkhand#,45,0,3
15,Karnataka,418,129,17
16,Kerala,427,307,3
17,Ladakh,18,14,0
18,Madhya Pradesh,1552,148,76
19,Maharashtra,5218,722,251
20,Manipur,2,2,0
21,Meghalaya,12,0,1
22,Mizoram,1,0,0
23,Odisha,79,24,1
24,Puducherry,7,3,0
25,Punjab,245,39,16
26,Rajasthan,1659,230,25
27,Tamil Nadu,1596,635,18
28,Telengana,928,194,23
29,Tripura,2,1,0
30,Uttarakhand,46,19,0
31,Uttar Pradesh,1294,140,20
32,West Bengal,423,73,15
