ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340676,2325943,14733,0
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746159,738119,8035,5
5,Bihar,855267,842951,12314,2
6,Chandigarh,100693,99508,1185,0
7,Chhattisgarh,1187695,1173504,14190,1
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040895,2014221,26666,8
10,Goa,263344,259326,4014,4
11,Gujarat,1291380,1280296,11079,5
12,Haryana,1078875,1068116,10755,4
13,Himachal Pradesh,322903,318657,4241,5
14,Jammu and Kashmir,482023,477231,4792,0
15,Jharkhand,443826,438491,5334,1
16,Karnataka,4088761,4048395,40358,8
17,Kerala,6907228,6835173,72042,13
18,Ladakh,29602,29371,231,0
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056351,1045565,10786,0
21,Maharashtra,8170919,8022154,148558,207
22,Manipur,140034,137885,2149,0
23,Meghalaya,96982,95351,1628,3
24,Mizoram,239560,238825,734,1
25,Nagaland,36033,35251,782,0
26,Odisha,1348354,1339132,9215,7
27,Puducherry,177547,175565,1981,1
28,Punjab,792415,773073,19338,4
29,Rajasthan,1326464,1316727,9736,1
30,Sikkim,44923,44420,500,3
31,Tamil Nadu,3610654,3572567,38081,6
32,Telangana,844427,840310,4111,6
33,Tripura,108492,107548,942,2
34,Uttarakhand,452568,444797,7768,3
35,Uttar Pradesh,2145422,2121658,23710,54
36,West Bengal,2126242,2104548,21555,139
