ID,state,total_cases,discharged,deaths
1,Andaman and Nicobar Islands,33,33,33
2,Andhra Pradesh,2602,2602,2602
3,Arunachal Pradesh,1,1,1
4,Assam,170,170,170
5,Bihar,1674,1674,1674
6,Chandigarh,202,202,202
7,Chhattisgarh,115,115,115
8,Dadar Nagar Haveli,1,1,1
9,Delhi,11088,11088,11088
10,Goa,50,50,50
11,Gujarat,12537,12537,12537
12,Haryana,993,993,993
13,Himachal Pradesh,110,110,110
14,Jammu and Kashmir,1390,1390,1390
15,Jharkhand,231,231,231
16,Karnataka,1462,1462,1462
17,Kerala,666,666,666
18,Ladakh,44,44,44
19,Madhya Pradesh,5735,5735,5735
20,Maharashtra,39297,39297,39297
21,Manipur,25,25,25
22,Meghalaya,14,14,14
23,Mizoram,1,1,1
24,Odisha,1052,1052,1052
25,Puducherry,18,18,18
26,Punjab,2005,2005,2005
27,Rajasthan,6015,6015,6015
28,Tamil Nadu,13191,13191,13191
29,Telengana,1661,1661,1661
30,Tripura,173,173,173
31,Uttarakhand,122,122,122
32,Uttar Pradesh,5175,5175,5175
33,West Bengal,3103,3103,3103
