ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7548,7415,129,4
2,Andhra Pradesh,1990656,1958275,13615,18766
3,Arunachal Pradesh,51139,48598,252,2289
4,Assam,578733,563261,5471,10001
5,Bihar,725416,715503,9649,264
6,Chandigarh,62024,61171,811,42
7,Chhattisgarh,1003614,988646,13545,1423
8,Dadra and Nagar Haveli and Daman and Diu,10655,10647,4,4
9,Delhi,1436988,1411452,25068,468
10,Goa,172343,168218,3168,957
11,Gujarat,825141,814885,10078,178
12,Haryana,770172,759852,9656,664
13,Himachal Pradesh,209677,203385,3544,2748
14,Jammu and Kashmir,323190,317471,4395,1324
15,Jharkhand,347530,342176,5131,223
16,Karnataka,2926401,2866739,36933,22729
17,Kerala,3652090,3453174,18394,180522
18,Ladakh,20436,20156,207,73
19,Lakshadweep,10278,10188,51,39
20,Madhya Pradesh,792007,781390,10514,103
21,Maharashtra,6382076,6180871,134730,66475
22,Manipur,107229,98867,1691,6671
23,Meghalaya,71045,65319,1213,4513
24,Mizoram,47995,36679,177,11139
25,Nagaland,29036,27096,594,1346
26,Odisha,992375,975999,6757,9619
27,Puducherry,122102,119355,1803,944
28,Punjab,599846,582944,16334,568
29,Rajasthan,953911,944752,8954,205
30,Sikkim,28425,25720,360,2345
31,Tamil Nadu,2584969,2530096,34462,20411
32,Telangana,651715,640065,3838,7812
33,Tripura,81117,78516,776,1825
34,Uttarakhand,342553,334782,7370,401
35,Uttar Pradesh,1708876,1685625,22782,469
36,West Bengal,1537185,1508800,18276,10109
