ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,3132,2647,46,439
2,Andhra Pradesh,434771,330526,3969,100276
3,Arunachal Pradesh,4112,2885,7,1220
4,Assam,109040,85461,306,23273
5,Bihar,136457,119540,582,16335
6,Chandigarh,4346,2431,56,1859
7,Chhattisgarh,31503,16989,277,14237
8,Dadra and Nagar Haveli and Daman and Diu,2367,2081,2,284
9,Delhi,174748,155678,4444,14626
10,Goa,17418,13577,192,3649
11,Gujarat,96300,77756,3020,15524
12,Haryana,64732,52672,689,11371
13,Himachal Pradesh,6116,4515,38,1563
14,Jammu and Kashmir,37698,29015,703,7980
15,Jharkhand,41656,27143,417,14096
16,Karnataka,342423,249467,5702,87254
17,Kerala,75385,51538,294,23553
18,Ladakh,2681,1874,34,773
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,63965,48657,1394,13914
21,Maharashtra,792541,573559,24583,194399
22,Manipur,6252,4330,28,1894
23,Meghalaya,2368,1162,10,1196
24,Mizoram,1011,591,0,420
25,Nagaland,3950,3067,9,874
26,Odisha,103536,77286,492,25758
27,Puducherry,14411,9334,228,4849
28,Punjab,53992,37027,1453,15512
29,Rajasthan,81693,66812,1056,13825
30,Sikkim,1652,1225,3,424
31,Tamil Nadu,428041,368141,7322,52578
32,Telangana,127697,95162,836,31699
33,Tripura,12153,7674,113,4366
34,Uttarakhand,19827,13650,269,5908
35,Uttar Pradesh,230414,172140,3486,54788
36,West Bengal,162778,134270,3228,25280
