ID,state,total_cases,discharged,deaths,active_cases
1,Andhra Pradesh,299,269,0,30
2,Arunachal Pradesh,3,3,0,0
3,Assam,107,82,0,25
4,Bihar,133,123,0,10
5,Chandigarh,8,6,0,2
6,Chhattisgarh,190,135,2,53
7,Delhi,3711,3259,17,435
8,Goa,27,24,0,3
9,Gujarat,3540,3181,2,357
10,Haryana,505,441,0,64
11,Himachal Pradesh,4,4,0,0
12,Jammu and Kashmir,68,41,0,27
13,Jharkhand,60,51,1,8
14,Karnataka,2528,2376,11,141
15,Kerala,8045,7254,41,750
16,Ladakh,5,5,0,0
17,Madhya Pradesh,287,211,5,71
18,Maharashtra,2425,2166,36,223
19,Manipur,189,37,0,152
20,Meghalaya,1,0,0,1
21,Mizoram,2,2,0,0
22,Nagaland,1,0,0,1
23,Odisha,156,139,0,17
24,Puducherry,122,120,0,2
25,Punjab,156,101,3,52
26,Rajasthan,698,539,3,156
27,Sikkim,170,145,0,25
28,Tamil Nadu,1030,921,7,102
29,Telangana,33,28,0,5
30,Tripura,7,5,0,2
31,Uttarakhand,77,72,0,5
32,Uttar Pradesh,924,763,2,159
33,West Bengal,1160,412,1,747
