ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2341096,2326363,14733,0
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746235,738198,8037,0
5,Bihar,855689,843373,12315,1
6,Chandigarh,100753,99566,1186,1
7,Chhattisgarh,1188573,1174364,14201,8
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2043073,2016354,26694,25
10,Goa,263650,259627,4014,9
11,Gujarat,1292529,1281393,11100,36
12,Haryana,1079169,1068383,10785,1
13,Himachal Pradesh,323097,318846,4246,5
14,Jammu and Kashmir,482189,477396,4793,0
15,Jharkhand,443861,438524,5337,0
16,Karnataka,4096811,4056342,40406,63
17,Kerala,6918349,6845871,72109,369
18,Ladakh,29676,29444,231,1
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056764,1045972,10786,6
21,Maharashtra,8177321,8028668,148602,51
22,Manipur,140038,137889,2149,0
23,Meghalaya,96994,95366,1628,0
24,Mizoram,239567,238833,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348626,1339410,9215,1
27,Puducherry,177759,175770,1982,7
28,Punjab,793895,773295,20591,9
29,Rajasthan,1327703,1317904,9746,53
30,Sikkim,44949,44448,501,0
31,Tamil Nadu,3611852,3573718,38086,48
32,Telangana,844875,840761,4111,3
33,Tripura,108566,107623,943,0
34,Uttarakhand,452739,444956,7778,5
35,Uttar Pradesh,2146100,2122317,23726,57
36,West Bengal,2127678,2106091,21558,29
