ID,state,total_cases,discharged,deaths
1,Andaman and Nicobar Islands,11,10,0
2,Andhra Pradesh,525,20,14
3,Arunachal Pradesh,1,0,0
4,Assam,33,0,1
5,Bihar,70,29,1
6,Chandigarh,21,7,0
7,Chhattisgarh,33,17,0
8,Delhi,1578,40,32
9,Goa,7,5,0
10,Gujarat,766,64,33
11,Haryana,205,43,3
12,Himachal Pradesh,35,16,1
13,Jammu and Kashmir,300,36,4
14,Jharkhand,28,0,2
15,Karnataka,279,80,12
16,Kerala,388,218,3
17,Ladakh,17,10,0
18,Madhya Pradesh,987,64,53
19,Maharashtra,2916,295,187
20,Manipur,2,1,0
21,Meghalaya,7,0,1
22,Mizoram,1,0,0
23,Nagaland#,0,0,0
24,Odisha,60,18,1
25,Puducherry,7,1,0
26,Punjab,186,27,13
27,Rajasthan,1023,147,3
28,Tamil Nadu,1242,118,14
29,Telengana,647,120,18
30,Tripura,2,1,0
31,Uttarakhand,37,9,0
32,Uttar Pradesh,735,51,11
32,West Bengal,231,42,7
