ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,8581,7989,129,463
2,Andhra Pradesh,2101710,2064331,14509,22870
3,Arunachal Pradesh,56493,55141,282,1070
4,Assam,644026,618701,6201,19124
5,Bihar,781717,733673,12127,35917
6,Chandigarh,76270,66673,1086,8511
7,Chhattisgarh,1055753,1009967,13647,32139
8,Dadra and Nagar Haveli and Daman and Diu,10950,10748,4,198
9,Delhi,1691684,1572942,25335,93407
10,Goa,207243,183615,3550,20078
11,Gujarat,916090,846375,10151,59564
12,Haryana,837998,781157,10098,46743
13,Himachal Pradesh,242289,227847,3889,10553
14,Jammu and Kashmir,355874,338453,4561,12860
15,Jharkhand,402533,364245,5199,33089
16,Karnataka,3186040,2977743,38418,169879
17,Kerala,5360708,5218681,50674,91353
18,Ladakh,23209,22246,222,741
19,Lakshadweep,10480,10369,51,60
20,Madhya Pradesh,824543,788484,10543,25516
21,Maharashtra,7170483,6760514,141779,268190
22,Manipur,126979,123902,2014,1063
23,Meghalaya,86147,83666,1490,991
24,Mizoram,152255,142764,570,8921
25,Nagaland,32834,31727,703,404
26,Odisha,1122735,1055615,8478,58642
27,Puducherry,136550,127879,1886,6785
28,Punjab,656549,602249,16754,37546
29,Rajasthan,1027990,960563,8999,58428
30,Sikkim,34399,32260,413,1726
31,Tamil Nadu,2915948,2747974,36967,131007
32,Telangana,707162,681091,4054,22017
33,Tripura,90935,84991,838,5106
34,Uttarakhand,367272,344940,7440,14892
35,Uttar Pradesh,1816974,1698873,22953,95148
36,West Bengal,1882761,1707333,20052,155376
