ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340656,2325896,14733,27
3,Arunachal Pradesh,66997,66662,296,39
4,Assam,746138,738084,8035,19
5,Bihar,854907,842405,12313,189
6,Chandigarh,100657,99434,1185,38
7,Chhattisgarh,1187277,1172653,14185,439
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040447,2013439,26651,357
10,Goa,262871,258642,4014,215
11,Gujarat,1291159,1279923,11077,159
12,Haryana,1078676,1067564,10750,362
13,Himachal Pradesh,322370,317868,4238,264
14,Jammu and Kashmir,481892,476984,4792,116
15,Jharkhand,443802,438423,5334,45
16,Karnataka,4087779,4047042,40353,384
17,Kerala,6903465,6827609,71897,3959
18,Ladakh,29575,29342,231,2
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056325,1045524,10786,15
21,Maharashtra,8168403,8018997,148542,864
22,Manipur,139973,137806,2149,18
23,Meghalaya,96905,95267,1626,12
24,Mizoram,239279,238438,731,110
25,Nagaland,36015,35228,782,5
26,Odisha,1347589,1335632,9215,2742
27,Puducherry,177446,175418,1981,47
28,Punjab,792123,772504,19335,284
29,Rajasthan,1326209,1315993,9728,488
30,Sikkim,44748,44212,500,36
31,Tamil Nadu,3610303,3571766,38075,462
32,Telangana,844039,839776,4111,152
33,Tripura,108174,107190,940,44
34,Uttarakhand,452426,444580,7765,81
35,Uttar Pradesh,2144802,2120557,23696,549
36,West Bengal,2124275,2100758,21547,1970
