ID,state,total_cases,discharged,deaths
1,Andhra Pradesh,427,11,7
2,Andaman and Nicobar Islands,11,10,0
3,Arunachal Pradesh,1,0,0
4,Assam,29,0,1
5,Bihar,64,19,1
6,Chandigarh,21,7,0
7,Chhattisgarh,31,10,0
8,Delhi,1154,27,24
9,Goa,7,5,0
10,Gujarat,516,44,25
11,Haryana,185,29,3
12,Himachal Pradesh,32,13,1
13,Jammu and Kashmir,245,6,4
14,Jharkhand,19,0,2
15,Karnataka,232,57,6
16,Kerala,376,179,2
17,Ladakh,15,10,0
18,Madhya Pradesh,564,0,36
19,Maharashtra,1985,217,149
20,Manipur,2,1,0
21,Mizoram,1,0,0
22,Odisha,54,12,1
23,Puducherry,7,1,0
24,Punjab,151,5,11
25,Rajasthan,804,21,3
26,Tamil Nadu,1043,50,11
27,Telengana,504,43,9
28,Tripura,2,0,0
29,Uttarakhand,35,5,0
30,Uttar Pradesh,483,46,5
31,West Bengal,152,29,7
