ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,3359,2997,50,312
2,Andhra Pradesh,506493,404074,4487,97932
3,Arunachal Pradesh,5180,3596,8,1576
4,Assam,128244,99076,370,28798
5,Bihar,149027,132145,761,16121
6,Chandigarh,5995,3734,74,2187
7,Chhattisgarh,47280,22177,395,24708
8,Dadra and Nagar Haveli and Daman and Diu,2590,2291,2,297
9,Delhi,193526,168384,4599,20543
10,Goa,21173,16427,245,4501
11,Gujarat,105509,85907,3120,16482
12,Haryana,78773,61611,829,16333
13,Himachal Pradesh,7660,5370,56,2234
14,Jammu and Kashmir,44570,32760,801,11009
15,Jharkhand,52620,37550,482,14588
16,Karnataka,404324,300770,6534,97020
17,Kerala,89489,66997,359,22133
18,Ladakh,3064,2211,35,818
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,75459,56909,1589,16961
21,Maharashtra,923641,659322,27027,237292
22,Manipur,7106,5358,38,1710
23,Meghalaya,3034,1560,17,1457
24,Mizoram,1114,735,0,379
25,Nagaland,4220,3685,10,525
26,Odisha,127892,99398,556,27938
27,Puducherry,17316,12135,325,4856
28,Punjab,65583,47020,1923,16640
29,Rajasthan,92536,76427,1151,14958
30,Sikkim,1939,1396,5,538
31,Tamil Nadu,469256,410116,7925,51215
32,Telangana,145163,112587,906,31670
33,Tripura,16135,9342,152,6641
34,Uttarakhand,25436,17123,348,7965
35,Uttar Pradesh,271851,205731,3976,62144
36,West Bengal,183865,157029,3620,23216
