ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10741,10612,129,0
2,Andhra Pradesh,2339060,2324322,14733,5
3,Arunachal Pradesh,66889,66593,296,0
4,Assam,746100,738064,8035,1
5,Bihar,851356,839050,12302,4
6,Chandigarh,99340,98156,1181,3
7,Chhattisgarh,1177737,1163587,14146,4
8,Dadra and Nagar Haveli and Daman and Diu,11591,11587,4,0
9,Delhi,2007029,1980491,26519,19
10,Goa,259049,255017,4013,19
11,Gujarat,1277491,1266264,11043,184
12,Haryana,1056550,1045796,10714,40
13,Himachal Pradesh,312595,308365,4213,17
14,Jammu and Kashmir,479385,474582,4785,18
15,Jharkhand,442567,437236,5331,0
16,Karnataka,4071526,4029810,40306,1410
17,Kerala,6827107,6754163,71524,1420
18,Ladakh,29407,29175,231,1
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1054911,1044127,10776,8
21,Maharashtra,8136170,7987545,148408,217
22,Manipur,139920,137770,2149,1
23,Meghalaya,96779,95154,1624,1
24,Mizoram,238963,238234,726,3
25,Nagaland,35986,35204,782,0
26,Odisha,1336488,1327190,9205,93
27,Puducherry,175497,173513,1975,9
28,Punjab,784148,764837,19289,22
29,Rajasthan,1315310,1305598,9653,59
30,Sikkim,44317,43818,499,0
31,Tamil Nadu,3594254,3556134,38049,71
32,Telangana,841191,837012,4111,68
33,Tripura,108033,107093,940,0
34,Uttarakhand,449342,441528,7751,63
35,Uttar Pradesh,2128058,2104320,23633,105
36,West Bengal,2118520,2096941,21531,48
