ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340666,2325923,14733,10
3,Arunachal Pradesh,67017,66698,296,23
4,Assam,746138,738084,8035,19
5,Bihar,855054,842609,12314,131
6,Chandigarh,100668,99472,1185,11
7,Chhattisgarh,1187495,1173100,14187,208
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040589,2013791,26658,140
10,Goa,263039,258857,4014,168
11,Gujarat,1291249,1280058,11079,112
12,Haryana,1078788,1067894,10754,140
13,Himachal Pradesh,322591,318157,4238,196
14,Jammu and Kashmir,481958,477102,4792,64
15,Jharkhand,443816,438470,5334,12
16,Karnataka,4088109,4047490,40355,264
17,Kerala,6905053,6830388,71916,2749
18,Ladakh,29577,29344,231,2
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056334,1045536,10786,12
21,Maharashtra,8168889,8019855,148549,485
22,Manipur,139973,137806,2149,18
23,Meghalaya,96927,95280,1627,20
24,Mizoram,239361,238545,732,84
25,Nagaland,36019,35234,782,3
26,Odisha,1347888,1338255,9215,418
27,Puducherry,177476,175466,1981,29
28,Punjab,792284,772793,19337,154
29,Rajasthan,1326338,1316463,9731,144
30,Sikkim,44789,44251,500,38
31,Tamil Nadu,3610404,3572225,38079,100
32,Telangana,844152,839928,4111,113
33,Tripura,108215,107234,940,41
34,Uttarakhand,452488,444681,7766,41
35,Uttar Pradesh,2145034,2121010,23700,324
36,West Bengal,2124783,2101885,21548,1350
