ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340689,2325944,14733,12
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746168,738130,8035,3
5,Bihar,855269,842953,12314,2
6,Chandigarh,100699,99514,1185,0
7,Chhattisgarh,1187703,1173508,14190,5
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2041127,2014450,26669,8
10,Goa,263426,259388,4014,24
11,Gujarat,1291515,1280391,11080,44
12,Haryana,1078976,1068195,10779,2
13,Himachal Pradesh,322946,318700,4246,0
14,Jammu and Kashmir,482042,477248,4792,2
15,Jharkhand,443851,438510,5337,4
16,Karnataka,4089252,4048714,40363,175
17,Kerala,6912920,6837986,72062,2872
18,Ladakh,29603,29372,231,0
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056559,1045771,10786,2
21,Maharashtra,8172050,8023418,148564,68
22,Manipur,140035,137886,2149,0
23,Meghalaya,96990,95362,1628,0
24,Mizoram,239562,238828,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348393,1339177,9215,1
27,Puducherry,177607,175595,1981,31
28,Punjab,793685,773112,20570,3
29,Rajasthan,1326479,1316732,9737,10
30,Sikkim,44932,44431,501,0
31,Tamil Nadu,3610963,3572765,38081,117
32,Telangana,844528,840390,4111,27
33,Tripura,108495,107553,942,0
34,Uttarakhand,452588,444820,7768,0
35,Uttar Pradesh,2145513,2121788,23717,8
36,West Bengal,2126544,2104989,21555,0
