ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340667,2325923,14733,11
3,Arunachal Pradesh,67017,66703,296,18
4,Assam,746138,738084,8035,19
5,Bihar,855094,842632,12314,148
6,Chandigarh,100671,99473,1185,13
7,Chhattisgarh,1187519,1173144,14188,187
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040596,2013826,26658,112
10,Goa,263052,258867,4014,171
11,Gujarat,1291254,1280065,11079,110
12,Haryana,1078791,1067938,10754,99
13,Himachal Pradesh,322594,318188,4238,168
14,Jammu and Kashmir,481959,477120,4792,47
15,Jharkhand,443816,438482,5334,0
16,Karnataka,4088130,4047584,40355,191
17,Kerala,6905171,6830595,71917,2659
18,Ladakh,29577,29345,231,1
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056335,1045537,10786,12
21,Maharashtra,8168913,8019877,148549,487
22,Manipur,139973,137806,2149,18
23,Meghalaya,96927,95285,1627,15
24,Mizoram,239365,238555,732,78
25,Nagaland,36019,35235,782,2
26,Odisha,1347919,1338344,9215,360
27,Puducherry,177476,175467,1981,28
28,Punjab,792296,772815,19337,144
29,Rajasthan,1326344,1316486,9731,127
30,Sikkim,44791,44253,500,38
31,Tamil Nadu,3610411,3572240,38079,92
32,Telangana,844165,839939,4111,115
33,Tripura,108230,107245,940,45
34,Uttarakhand,452492,444694,7767,31
35,Uttar Pradesh,2145044,2121027,23700,317
36,West Bengal,2124820,2102030,21549,1241
