ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,9985,9753,129,103
2,Andhra Pradesh,2313827,2286575,14702,12550
3,Arunachal Pradesh,64110,63350,294,466
4,Assam,723759,713897,6615,3247
5,Bihar,829209,815839,12253,1117
6,Chandigarh,91397,89742,1154,501
7,Chhattisgarh,1147447,1127908,14012,5527
8,Dadra and Nagar Haveli and Daman and Diu,11432,11405,4,23
9,Delhi,1852662,1823244,26081,3337
10,Goa,244287,238756,3777,1754
11,Gujarat,1217328,1195295,10838,11195
12,Haryana,975195,959209,10499,5487
13,Himachal Pradesh,281016,273897,4084,3035
14,Jammu and Kashmir,451330,442305,4745,4280
15,Jharkhand,433550,426921,5315,1314
16,Karnataka,3929642,3863085,39691,26866
17,Kerala,6428148,6240864,62681,124603
18,Ladakh,27594,26844,227,523
19,Lakshadweep,11345,11213,52,80
20,Madhya Pradesh,1028873,1003477,10700,14696
21,Maharashtra,7847746,7669772,143451,34523
22,Manipur,136032,131768,2086,2178
23,Meghalaya,93071,90897,1565,609
24,Mizoram,200635,188528,638,11469
25,Nagaland,35274,34139,753,382
26,Odisha,1279046,1261467,8926,8653
27,Puducherry,165363,162504,1959,900
28,Punjab,756130,735574,17623,2933
29,Rajasthan,1268272,1240815,9481,17976
30,Sikkim,38977,38225,440,312
31,Tamil Nadu,3439221,3369907,37946,31368
32,Telangana,784631,772145,4107,8379
33,Tripura,100813,99747,919,147
34,Uttarakhand,434053,419840,7660,6553
35,Uttar Pradesh,2060589,2024661,23404,12524
36,West Bengal,2011569,1979878,21061,10630
