ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340663,2325923,14733,7
3,Arunachal Pradesh,67017,66698,296,23
4,Assam,746138,738084,8035,19
5,Bihar,855037,842590,12314,133
6,Chandigarh,100667,99469,1185,13
7,Chhattisgarh,1187491,1173082,14187,222
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040579,2013717,26656,206
10,Goa,263023,258836,4014,173
11,Gujarat,1291240,1280051,11079,110
12,Haryana,1078785,1067880,10753,152
13,Himachal Pradesh,322584,318114,4238,232
14,Jammu and Kashmir,481953,477095,4792,66
15,Jharkhand,443816,438470,5334,12
16,Karnataka,4088081,4047484,40354,243
17,Kerala,6904943,6830141,71915,2887
18,Ladakh,29577,29344,231,2
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056334,1045536,10786,12
21,Maharashtra,8168814,8019780,148549,485
22,Manipur,139973,137806,2149,18
23,Meghalaya,96925,95280,1627,18
24,Mizoram,239355,238543,732,80
25,Nagaland,36019,35233,782,4
26,Odisha,1347873,1338192,9215,466
27,Puducherry,177465,175463,1981,21
28,Punjab,792263,772776,19337,150
29,Rajasthan,1326335,1316379,9730,226
30,Sikkim,44787,44244,500,43
31,Tamil Nadu,3610394,3572202,38079,113
32,Telangana,844137,839920,4111,106
33,Tripura,108214,107231,940,43
34,Uttarakhand,452484,444667,7766,51
35,Uttar Pradesh,2145000,2120976,23699,325
36,West Bengal,2124722,2101720,21548,1454
